,tmdb_id,tconst,title,startYear,genres,budget,revenue,runtimeMinutes,popularity,averageRating,numVotes,production_countries,tagline,overview,poster_path,backdrop_path,bande_annonce,mot_cle,contributeur
2993,1062482,tt8032034,Condor's Nest,2023,"Action,Drama,Thriller",0.0,0.0,102,5.509,4.3,983,[],A hidden Nazi empire. A quest for revenge.,American war veteran Will Spalding has tracked the sadistic Nazi Colonel who executed his bomber crew during WWII to a remote location in South America. But he is in for more than he bargained for when he uncovers a secret Nazi headquarters known as the Condor's Nest.,https://image.tmdb.org/t/p/original/aBAsCMzsbGlFtQFqeWsKWM6hvOE.jpg,https://image.tmdb.org/t/p/original/uSUjIzqKyebAd2wqDyb11Ya4wch.jpg,https://youtu.be/EijfB_hNvDs,,"Michael Ironside, Bruce Davison"
2994,507086,tt8041270,Jurassic World : Le Monde d'après,2022,"Action,Adventure,Sci-Fi",165000000.0,1001978080.0,147,237.086,5.6,204096,['US'],The epic conclusion of the Jurassic era.,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",https://image.tmdb.org/t/p/original/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,https://image.tmdb.org/t/p/original/jauI01vUIkPA0xVsamGj0Gs1nNL.jpg,https://youtu.be/DtQycgMD4HQ,"giant monster,sequel,dinosaur,child kidnapping,jurassic,animal sanctuary,giant monster,sequel,dinosaur,child kidnapping,jurassic,animal sanctuary","Frank Marshall, Jeff Goldblum"
2995,506734,tt8050266,LEGO DC Super Hero Girls : Le Collège des super-méchants,2018,"Action,Adventure,Animation",0.0,0.0,78,4.019,5.1,472,['US'],,"After a mysterious school opens across the street, the students of Super Hero High find themselves up against a new threat. Now, Wonder Woman, Supergirl, Batgirl and the rest of the DC Super Hero Girls not only have to worry about the well-being of their grades, but the safety and security of friends, family and the rest of civilization. The girls must figure out how to put a stop to this evil, new cross-town rival and save the world once again",https://image.tmdb.org/t/p/original/pGvGOvCtFGFobwYldE6u8hWcusV.jpg,https://image.tmdb.org/t/p/original/y8WCbi6eLbrqNa5zWD5sOzmdXnv.jpg,https://youtu.be/tQkxYywhhbI,,"Grey Griffin, Greg Cipes"
2996,525208,tt8064262,Paws P.I.,2018,"Action,Comedy,Family",0.0,0.0,86,3.67,4.3,621,[],He's on the case,A boy determined to save his father's failing private detective business enlists the help of his pet dog and parrot...who talk. Together they will try to take down the town's tyrannical tycoon who's determined to stop a mansion from being turned into an animal rescue.,https://image.tmdb.org/t/p/original/xkf2frnikouflJfwSJbufizhQ0R.jpg,https://image.tmdb.org/t/p/original/lmmhNQWhfMojR6aTr5nqDttYhYy.jpg,,,"Jon Lovitz, Celesta Hodge"
2997,648572,tt8065768,Vic le viking,2019,"Action,Adventure,Animation",0.0,2529728.0,77,8.999,5.2,459,"['DE', 'BE', 'FR']","Big adventure, little hero!","Vic dreams of going to sea as a member of the crew captained by Halvar, his father, who unfortunately thinks that the child is too weak to embark with him and his brave warriors in search of dangerous adventures; but fate will offer Vic the opportunity to prove to Halvar that he is a true Viking.",https://image.tmdb.org/t/p/original/bpQNfd1cSzAwZHVU8dVfFIizkuW.jpg,https://image.tmdb.org/t/p/original/2bt8Nl0xe18az5hpPU8alsLvvvj.jpg,,,"David Schaal, Tim Bentinck"
2998,512895,tt8096832,La Belle et le Clochard,2019,"Adventure,Comedy,Family",0.0,0.0,111,21.554,6.2,24462,['US'],Be loyal. Be brave. Be loved.,"The love story between a pampered Cocker Spaniel named Lady and a streetwise mongrel named Tramp. Lady finds herself out on the street after her owners have a baby and is saved from a pack by Tramp, who tries to show her to live her life footloose and collar-free.",https://image.tmdb.org/t/p/original/8wBEye516IKul9sW7JKGcFXVGfV.jpg,https://image.tmdb.org/t/p/original/eXlfDtIi7UvxKoUi9a8oxHDAYej.jpg,https://youtu.be/P4NtWb4WX20,"freedom,family,streetwise,live action and animation,live action remake,freedom,family,streetwise,live action and animation,live action remake","Sam Elliott, Justin Theroux"
2999,508947,tt8097030,Alerte rouge,2022,"Adventure,Animation,Comedy",190000000.0,18879922.0,100,154.459,7.0,152141,['US'],Growing up is a beast.,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",https://image.tmdb.org/t/p/original/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,https://image.tmdb.org/t/p/original/fOy2Jurz9k6RnJnMUMRDAgBwru2.jpg,https://youtu.be/XdKzUbAiswE,"friendship,canada,concert,temple,shapeshifting,toronto, canada,coming of age,teenage girl,female protagonist,east asian lead,animal,domineering mother,perfectionist,aftercreditsstinger,chinese canadian,woman director,ancestor,boy band,mother daughter relationship,red panda,appreciative","Sandra Oh, Rosalie Chiang"
3000,509967,tt8106534,6 Underground,2019,"Action,Thriller",150000000.0,0.0,128,33.938,6.1,196198,['US'],They say no one can save the world. Meet no one.,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",https://image.tmdb.org/t/p/original/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg,https://image.tmdb.org/t/p/original/eFw5YSorHidsajLTayo1noueIxI.jpg,https://youtu.be/XcIuFTrLS6g,"dictator,florence, italy,shootout,fictitious country,evil dictator,anxious,action packed,street shootout,amused,dictator,florence, italy,shootout,fictitious country,evil dictator,anxious,action packed,street shootout,amused,dictator,florence, italy,shootout,fictitious country,evil dictator,anxious,action packed,street shootout,amused","Michael Bay, Michael Bay"
3001,791469,tt8110246,Dark Web: Cicada 3301,2021,"Action,Comedy,Thriller",0.0,0.0,104,11.067,5.0,2493,['US'],A true hacker story that never happened.,"Genius hacker Connor discovers Cicada 3301, an online treasure hunt that could be a recruiting tool for a secret society. Soon Conner, art-expert friend Avi, and secretive librarian Gwen are dashing from graffiti sites to ancient libraries to uncover real-world clues. But they must outrun aggressive NSA agents, also hot on the trail of Cicada, who want the glory for themselves.",https://image.tmdb.org/t/p/original/tJlLfuvIBBn5aFoyW1IQWeFHl6v.jpg,https://image.tmdb.org/t/p/original/oV00l7wRrxHevySdFFNpe07c2nl.jpg,https://youtu.be/PhTViyWswUU,"hacking,online hookup,online mobile game","Jack Kesy, Ron Funches"
3002,520023,tt8110652,Bodies Bodies Bodies,2022,"Comedy,Horror,Thriller",0.0,13905020.0,94,22.068,6.2,67702,['US'],This is not a safe space.,"In an isolated family mansion, a group of rich 20-somethings decides to play Bodies Bodies Bodies, a game where one of them is secretly a ""killer"" while the rest tries to ""escape"". Things take a turn for the worse when real bodies start turning up, setting off a paranoid and dangerous chain of events.",https://image.tmdb.org/t/p/original/hSuTjDmqRdy7Dii8ymnF2WILTeP.jpg,https://image.tmdb.org/t/p/original/tMvLze1KGP3rFIVNRRrWdC1FGp8.jpg,https://youtu.be/cTzGKsZjBOY,"infidelity,love triangle,sword,gun,paranoia,hurricane,rain,satire,mansion,whodunit,accidental death,power outage,lgbt,woman director,murder mystery,generation z,party,grand,infidelity,love triangle,sword,gun,paranoia,hurricane,rain,satire,mansion,whodunit,accidental death,power outage,lgbt,woman director,murder mystery,generation z,party,grand","Amandla Stenberg, Lee Pace"
